#  h (Hubble)   = 70
#  omega_matter = 0.30
#  omega_lambda = 0.70
#  Lambda       = 4.76190471E-05
#  q            = -0.55
#
# age of universe at redshift z
#
#  z      age(Gyr)
  0.00     13.48
  0.05     12.80
  0.10     12.17
  0.15     11.59
  0.20     11.04
  0.25     10.53
  0.30     10.06
  0.35      9.61
  0.40      9.19
  0.45      8.80
  0.50      8.43
  0.55      8.09
  0.60      7.76
  0.65      7.46
  0.70      7.17
  0.75      6.90
  0.80      6.64
  0.85      6.40
  0.90      6.18
  0.95      5.96
  1.00      5.76
  1.05      5.56
  1.10      5.38
  1.15      5.21
  1.20      5.04
  1.25      4.88
  1.30      4.73
  1.35      4.59
  1.40      4.46
  1.45      4.33
  1.50      4.20
  1.55      4.09
  1.60      3.97
  1.65      3.87
  1.70      3.76
  1.75      3.66
  1.80      3.57
  1.85      3.48
  1.90      3.39
  1.95      3.31
  2.00      3.23
  2.05      3.15
  2.10      3.08
  2.15      3.01
  2.20      2.94
  2.25      2.87
  2.30      2.81
  2.35      2.75
  2.40      2.69
  2.45      2.63
  2.50      2.58
  2.55      2.52
  2.60      2.47
  2.65      2.42
  2.70      2.37
  2.75      2.33
  2.80      2.28
  2.85      2.24
  2.90      2.19
  2.95      2.15
  3.00      2.11
